Id,Original string,Translation
1,Top,
2,Press,
3,#UpArrow;,
4,#DownArrow;,
5,!,
6,Vertical,
7,#Run_1;,
8,Discord Bot Maker Directory Set To: &quot;C:/DiscordBotMaker&quot;,
9,DBM Mods - Mod Manager,
10,Right,
11,🗙,
12,Right,
13,🗖,
14,Right,
15,🗕,
16,#MenuItem_1;#MenuItem_3;,
17,Top,
18,#MenuItem_2;,
19,_File,
20,_Close,
21,#MenuItem_4;,
22,Options,
23,Set DBM Path..,
24,#Grid_2;,
25,Installed Mods,
26,#TextBlock_14;,
27,Left,
28,Refresh,
29,#TextBlock_15;,
30,Left,
31,Resync,
32,Right,
33,Hello! BRO how are you doing,
34,Extended,
35,"    Section",
36,Mod Name,
37,Latest Version,
38,Current Version,
39,Author,
40,#Grid_3;,
41,Install More Mods,
42,#TextBlock_17;,
43,Left,
44,Refresh,
45,#TextBlock_18;,
46,Left,
47,Resync,
48,Right,
49,Hello! BRO how are you doing,
50,Extended,
51,"    Section",
52,Mod Name,
53,Latest Version,
54,Current Version,
55,Author,
